du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing
,9.95,"Đường Thanh Bình, Phường Mộ Lao, Quận Hà Đông, Hà Nội",,33.0,301.52,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ
,1.8,"Ngách 15 Ngõ Gốc Đề, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",,15.0,120.0,2.0,2.0,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",4.0,
,13.3,"180, Đường Tây Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",,105.0,126.67,6.0,10.0,Đã có sổ,"Nhà ngõ, hẻm",7.0,Nội thất đầy đủ
,15.0,"Đường Công viên Văn Phú, Phường Phú La, Quận Hà Đông, Hà Nội",,62.5,240.0,3.0,3.0,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,Nội thất đầy đủ
,5.3,"Phố Nam Dư, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",,35.0,151.43,5.0,4.0,Đã có sổ,"Nhà mặt phố, mặt tiền",4.0,
,4.0,"Phố Kim Ngưu, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội",,26.0,153.85,2.0,2.0,Đã có sổ,"Nhà ngõ, hẻm",3.0,Nội thất đầy đủ
,3.5,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",,16.0,218.75,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ
,8.7,"Phố Trần Bình, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",,45.0,193.33,3.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",3.0,
,6.25,"Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",,37.0,168.92,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,
,9.5,"Phố Đồng Cổ, Phường Bưởi, Quận Tây Hồ, Hà Nội",,55.0,172.73,,5.0,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất đầy đủ
,15.0,"Đường Công viên Văn Phú, Phường Phú La, Quận Hà Đông, Hà Nội",,62.5,240.0,3.0,3.0,Đã có sổ,"Nhà mặt phố, mặt tiền",5.0,Nội thất đầy đủ
,5.3,"Phố Nam Dư, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",,35.0,151.43,5.0,4.0,Đã có sổ,"Nhà mặt phố, mặt tiền",4.0,
,4.0,"Phố Kim Ngưu, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội",,26.0,153.85,2.0,2.0,Đã có sổ,"Nhà ngõ, hẻm",3.0,Nội thất đầy đủ
,3.5,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",,16.0,218.75,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất đầy đủ
,8.7,"Phố Trần Bình, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",,45.0,193.33,3.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",3.0,
,6.25,"Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",,37.0,168.92,4.0,3.0,Đã có sổ,"Nhà ngõ, hẻm",4.0,
,9.5,"Phố Đồng Cổ, Phường Bưởi, Quận Tây Hồ, Hà Nội",,55.0,172.73,,5.0,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất đầy đủ
,17.5,"Đường Nguyễn Viết Thứ, Xã Sơn Đồng, Huyện Hoài Đức, Hà Nội",,80.0,218.75,4.0,6.0,Đã có sổ,Nhà phố liền kề,5.0,Bàn giao thô
