du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing
,9.0,"Đường 23B, Xã Thanh Lâm, Huyện Mê Linh, Hà Nội",,400.0,22.5,,,Đã có sổ,Đất thổ cư,,
,2.9,"Đông Ngàn, Xã Đông Hội, Huyện Đông Anh, Hà Nội",,54.0,53.7,,,Đã có sổ,Đất thổ cư,,
,6.37,"Liên xã, Xã Khánh Hà, Huyện Thường Tín, Hà Nội",,106.0,60.09,,,Đã có sổ,Đất thổ cư,,
,6.39,"Liên xã, Xã Khánh Hà, Huyện Thường Tín, Hà Nội",,107.0,59.72,,,Đã có sổ,Đất thổ cư,,
,1.05,"Đường Đường tỉnh 35, Xã Tân Dân, Huyện Sóc Sơn, Hà Nội",,50.0,21.0,,,Đã có sổ,Đất thổ cư,,
,4.7,"Phố Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",,42.0,111.9,,,Đã có sổ,Đất thổ cư,,
,6.39,"Liên xã, Xã Khánh Hà, Huyện Thường Tín, Hà Nội",,107.0,59.72,,,Đã có sổ,Đất thổ cư,,
,1.05,"Đường Đường tỉnh 35, Xã Tân Dân, Huyện Sóc Sơn, Hà Nội",,50.0,21.0,,,Đã có sổ,Đất thổ cư,,
,4.7,"Phố Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",,42.0,111.9,,,Đã có sổ,Đất thổ cư,,
,2.2,"Đình Trung, Xã Xuân Nộn, Huyện Đông Anh, Hà Nội",,59.0,37.29,,,Đã có sổ,Đất thổ cư,,
,36.0,"Phố Kim Quan Thượng, Phường Việt Hưng, Quận Long Biên, Hà Nội",,330.0,109.09,,,Đã có sổ,Đất thổ cư,,
,2.3,"420, Xã Bình Yên, Huyện Thạch Thất, Hà Nội",,120.0,19.17,,,Đã có sổ,Đất thổ cư,,
,1.98,"đại lộ thăng long, Xã Phú Cát, Huyện Quốc Oai, Hà Nội",,64.0,30.94,,,Đã có sổ,Đất thổ cư,,
,4.4,"Đường Gia Thượng, Phường Thượng Thanh, Quận Long Biên, Hà Nội",,60.7,72.49,,,Đã có sổ,Đất thổ cư,,
,6.9,"Thạch Cầu, Phường Long Biên, Quận Long Biên, Hà Nội",,104.0,66.35,,,Đã có sổ,Đất thổ cư,,
,0.17,"Đường tỉnh 420, Xã Bình Yên, Huyện Thạch Thất, Hà Nội",,112.0,1.52,,,Đã có sổ,Đất thổ cư,,
,12.5,"Đường Cổ Linh, Phường Long Biên, Quận Long Biên, Hà Nội",,62.0,201.61,,,Đã có sổ,Đất thổ cư,,
,3.0,"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",,46.0,65.22,,,Đã có sổ,Đất thổ cư,,
,3.5,"liên xã, Xã Nam Phương Tiến, Huyện Chương Mỹ, Hà Nội",,1050.0,3.33,,,Đã có sổ,Đất thổ cư,,
,24.8,"Đường La Thành, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",,83.0,298.8,,,Đã có sổ,Đất thổ cư,,
,1.7,"liên xã, Xã Nam Phương Tiến, Huyện Chương Mỹ, Hà Nội",,238.0,7.14,,,Đã có sổ,Đất thổ cư,,
,1.95,"Phú Cát, Xã Phú Cát, Huyện Quốc Oai, Hà Nội",,64.0,30.47,,,Đã có sổ,Đất thổ cư,,
,23.0,"Phố Định Công Thượng, Phường Định Công, Quận Hoàng Mai, Hà Nội",,100.0,230.0,,,Đã có sổ,Đất thổ cư,,
,4.18,"Đường Gia Thượng, Phường Thượng Thanh, Quận Long Biên, Hà Nội",,49.2,84.96,,,Đã có sổ,Đất thổ cư,,
,64.0,"Phố Quảng Khánh, Phường Quảng An, Quận Tây Hồ, Hà Nội",,100.0,640.0,,,Đã có sổ,Đất thổ cư,,
,5.8,"Đường 25M Cự Khối, Phường Cự Khối, Quận Long Biên, Hà Nội",,38.0,152.63,,,Đã có sổ,Đất thổ cư,,
du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing
,2.3,"Đất Đấu Giá, Xã Chuyên Mỹ, Huyện Phú Xuyên, Hà Nội",,100.0,23.0,,,Đã có sổ,Đất thổ cư,,
,10.8,"Phố Ỷ La, Phường Dương Nội, Quận Hà Đông, Hà Nội",,106.0,101.89,,,Đã có sổ,Đất thổ cư,,
,1.25,"Tam Đạc 2, Xã Thọ An, Huyện Đan Phượng, Hà Nội",,46.0,27.17,,,Đã có sổ,Đất thổ cư,,
,3.4,"Chùa thầy, Xã Sài Sơn, Huyện Quốc Oai, Hà Nội",,80.0,42.5,,,Đã có sổ,Đất thổ cư,,
,11.0,"Hải Bối, Xã Hải Bối, Huyện Đông Anh, Hà Nội",,80.0,137.5,,,Đã có sổ,Đất nền dự án,,
,1.1,"Xóm 4, Xã Tự Nhiên, Huyện Thường Tín, Hà Nội",,41.0,26.83,,,Đã có sổ,Đất thổ cư,,
,2.1,"Mỹ Lâm, Thị trấn Phú Xuyên, Huyện Phú Xuyên, Hà Nội",,83.0,25.3,,,Đã có sổ,Đất thổ cư,,
,2.9,"Đường Xuân Khôi, Phường Cự Khối, Quận Long Biên, Hà Nội",,60.0,48.33,,,Đã có sổ,Đất thổ cư,,
,4.8,"Đản Dị, Xã Uy Nỗ, Huyện Đông Anh, Hà Nội",,55.0,87.27,,,Đã có sổ,Đất thổ cư,,
,4.1,"Lâm Tiên, Thị trấn Đông Anh, Huyện Đông Anh, Hà Nội",,80.0,51.25,,,Đã có sổ,Đất thổ cư,,
,4.5,"Hiền Ninh, Xã Hiền Ninh, Huyện Sóc Sơn, Hà Nội",,120.0,37.5,,,Đã có sổ,Đất thổ cư,,
,2.45,"08, VĂN KHÊ,TAM HƯNG, Xã Bích Hòa, Huyện Thanh Oai, Hà Nội",,45.0,54.44,,,Đã có sổ,Đất thổ cư,,
,2.5,"Đường huyện 10, Xã Tân Xã, Huyện Thạch Thất, Hà Nội",,60.0,41.67,,,Đã có sổ,Đất thổ cư,,
,1.25,"3, Chương Lộc, Xã Chương Dương, Huyện Thường Tín, Hà Nội",,44.0,28.41,,,Đã có sổ,Đất thổ cư,,
,6.85,"Phố Tình Quang, Phường Giang Biên, Quận Long Biên, Hà Nội",,92.0,74.46,,,Đã có sổ,Đất thổ cư,,
,7.3,Nguyễn Văn Cừ,,55.0,132.73,,,Đã có sổ,Đất thổ cư,,
,12.0,"Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",,82.0,146.34,,,Đã có sổ,Đất thổ cư,,
,1.95,"Thanh Trí, Xã Minh Phú, Huyện Sóc Sơn, Hà Nội",,127.0,15.35,,,Đã có sổ,Đất thổ cư,,
,9.0,"Vân Trì, Xã Vân Nội, Huyện Đông Anh, Hà Nội",,129.5,69.5,,,Đã có sổ,Đất thổ cư,,
,2.6,"Hồ Chí Minh, Xã An Phú, Huyện Mỹ Đức, Hà Nội",,460.0,5.65,,,Đã có sổ,Đất thổ cư,,
,9.0,"Vân Trì, Xã Vân Nội, Huyện Đông Anh, Hà Nội",,129.5,69.5,,,Đã có sổ,Đất thổ cư,,
,2.6,"Hồ Chí Minh, Xã An Phú, Huyện Mỹ Đức, Hà Nội",,460.0,5.65,,,Đã có sổ,Đất thổ cư,,
,7.65,"Đường Ỷ Lan, Xã Đặng Xá, Huyện Gia Lâm, Hà Nội",,120.0,63.75,,,Đã có sổ,Đất thổ cư,,
,10.3,"Võ Nguyên Giáp, Xã Vĩnh Ngọc, Huyện Đông Anh, Hà Nội",,73.0,141.1,,,Đã có sổ,Đất thổ cư,,
,6.65,"Đường Võ Nguyên Giáp, Xã Tiên Dương, Huyện Đông Anh, Hà Nội",,82.0,81.1,,,Đã có sổ,Đất thổ cư,,
,3.85,"Đường 100, Thị trấn Quang Minh, Huyện Mê Linh, Hà Nội",,76.0,50.66,,,Đã có sổ,Đất thổ cư,,
,15.5,"Đường Hưng Phúc, Phường Yên Sở, Quận Hoàng Mai, Hà Nội",,80.0,193.75,,,Đã có sổ,Đất thổ cư,,
,2.1,"Đường Hà Huy Tập, Thị trấn Yên Viên, Huyện Gia Lâm, Hà Nội",,50.0,42.0,,,Đã có sổ,Đất thổ cư,,
,10.65,"Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, Hà Nội",,50.0,213.0,,,Đã có sổ,Đất thổ cư,,
