du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing
,0.6,"Phố Xã Đàn, Phường Phương Liên, Quận Đống Đa, Hà Nội",Đã bàn giao,55.0,10.91,1.0,2,1,"Căn hộ dịch vụ, mini",,Nội thất cao cấp
,4.65,"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,90.0,51.67,2.0,3,Sổ hồng riêng,Chung cư,,
,3.3,"Phố Thįnh Liệt, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội",Chưa bàn giao,55.0,60.0,2.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,2.8,"Đường Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Chưa bàn giao,55.0,50.91,2.0,2,Sổ hồng riêng,Chung cư,,
,6.5,"Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,90.0,72.22,2.0,3,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
,6.8,"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,124.0,54.84,2.0,3,Sổ hồng riêng,Chung cư,,
,1.7,"Đường Kính Nỗ, Thị trấn Đông Anh, Huyện Đông Anh, Hà Nội",Đã bàn giao,47.0,36.17,,2,Sổ hồng riêng,Chung cư,,
,3.55,", KĐTM  Cầu Bươu, Xã Tân Triều, Huyện Thanh Trì, Hà Nội",Đã bàn giao,86.0,41.28,2.0,2,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
Mỹ Đình Plaza 2,10.5,"Số 2, Số 2 Số 2 Nguyễn Hoàng, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,128.0,82.03,3.0,3,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
Megastar Dominium C2 Xuân Đỉnh,3.8,"Ngõ 323 , Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,85.0,44.71,2.0,2,Hợp đồng mua bán,Chung cư,,Nội thất cao cấp
Vinhomes Gardenia,15.5,"Đường Hàm Nghi, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",Chưa bàn giao,240.0,64.58,2.0,1,Sổ hồng riêng,Chung cư,,
,3.65,"P306, Ngõ Văn Chương 2, Phường Văn Chương, Quận Đống Đa, Hà Nội",Chưa bàn giao,100.0,36.5,1.0,3,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất đầy đủ
Thành phố Giao Lưu,4.55,"Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,87.0,52.3,2.0,3,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
Chung cư CT12 Kim Văn - Kim Lũ (Tòa A),16.6,"Đường Nguyễn Xiển, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Chưa bàn giao,75.0,221.33,6.0,10,Sổ hồng riêng,"Căn hộ dịch vụ, mini",,Nội thất cao cấp
,5.2,"Phố Nguyễn Đức Cảnh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",Đã bàn giao,91.0,57.14,,2,Sổ hồng riêng,Chung cư,,
,4.65,"Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Đã bàn giao,97.0,47.94,2.0,3,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
,6.35,"Phố Nguyễn Chánh, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",Chưa bàn giao,196.0,32.4,2.0,3,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
