du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing
,2.76,"Phố Phương Mai, Phường Phương Mai, Quận Đống Đa, Hà Nội",Đã bàn giao,60.0,46.0,1.0,2,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất đầy đủ
,2.75,"Phố Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",Chưa bàn giao,80.0,34.38,2.0,3,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất đầy đủ
,2.5,"Phố Thái Thịnh, Phường Trung Liệt, Quận Đống Đa, Hà Nội",Đã bàn giao,58.0,43.1,1.0,2,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất đầy đủ
Vinhomes Ocean Park Gia Lâm,2.65,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Chưa bàn giao,59.0,44.92,1.0,2,Sổ hồng riêng,Chung cư,,
,0.00499,"Phố Trần Quý Kiên, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Đã bàn giao,78.0,0.063974,,2,Sổ hồng riêng,Chung cư,,Hoàn thiện cơ bản
,3.25,"Đường Nguyễn Xiển, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Chưa bàn giao,70.0,46.43,,2,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
,5.2,"Tố Hữu, Phường La Khê, Quận Hà Đông, Hà Nội",Chưa bàn giao,94.0,55.32,2.0,3,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,15.5,"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Đã bàn giao,66.0,234.85,6.0,10,Sổ hồng riêng,"Căn hộ dịch vụ, mini",,Nội thất đầy đủ
The Two Residence - Gamuda Garden,5.4,"Đường Pháp Vân, phường Yên Sở, Hoàng Mai, Hà Nội, Phường Yên Sở, Quận Hoàng Mai, Hà Nội",Chưa bàn giao,83.0,65.06,2.0,3,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
,2.6,"8/3, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội",Chưa bàn giao,35.0,74.29,,2,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất đầy đủ
,11.9,"Đường Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Chưa bàn giao,68.0,175.0,,10,Sổ hồng riêng,"Căn hộ dịch vụ, mini",,
Khu đô thị mới Xa La,2.4,"Phố Phùng Hưng, Phường Phúc La, Hà Đông, Hà Nội, Phường Phúc La, Quận Hà Đông, Hà Nội",Đã bàn giao,53.0,45.28,1.0,2,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,3.98,"Phố Trần Đăng Ninh, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Đã bàn giao,65.0,61.23,2.0,2,Sổ hồng riêng,Chung cư,,
,5.95,"Xuân Đỉnh , Phường Xuân La, Quận Tây Hồ, Hà Nội",Đã bàn giao,87.0,68.39,3.0,3,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,1.97,"Cầu Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Đã bàn giao,65.0,30.31,1.0,3,Hợp đồng mua bán,Chung cư,,
,1.42,"Đường An Dương Vương, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",Đã bàn giao,35.0,40.57,1.0,1,Hợp đồng mua bán,Chung cư,,
,2.34,"Phố Linh Đường, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Đã bàn giao,58.0,40.34,2.0,2,Đang chờ sổ,Chung cư,,Nội thất đầy đủ
,5.6,"Đường Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội",Đã bàn giao,75.6,74.07,2.0,2,Sổ hồng riêng,Chung cư,,
,25.0,"PHAN KẾ BÍNH, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",Chưa bàn giao,80.0,312.5,6.0,10,Sổ hồng riêng,Chung cư,,Nội thất cao cấp
,3.68,"Ngõ 1 Phố Thọ Lão, Phường Đồng Nhân, Quận Hai Bà Trưng, Hà Nội",Chưa bàn giao,120.0,30.67,2.0,4,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất đầy đủ
,2.6,"Hh02-2a , Đường Cenco 5, 6toà Cũ , KĐT Thanh Hà, Xã Cự Khê, Huyện Thanh Oai, Hà Nội",Chưa bàn giao,66.5,39.1,2.0,2,Hợp đồng mua bán,Chung cư,,Hoàn thiện cơ bản
HH2 Linh Đàm,2.72,"Đường Linh Đường, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Đã bàn giao,66.0,41.21,2.0,2,Hợp đồng mua bán,Chung cư,,Nội thất đầy đủ
Chung cư 130 Nguyễn Đức Cảnh,5.12,"130, 130 Đường Nguyễn Đức Cảnh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",Đã bàn giao,92.0,55.65,2.0,3,Sổ hồng riêng,Chung cư,,Nội thất đầy đủ
,3.65,"Lý Văn Phúc, Phường Cát Linh, Quận Đống Đa, Hà Nội",Đã bàn giao,110.0,33.18,2.0,3,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất đầy đủ
Vinhomes Ocean Park Gia Lâm,3.55,"Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Đã bàn giao,80.0,44.38,2.0,3,Sổ hồng riêng,Chung cư,,Hoàn thiện cơ bản
,1.05,"Đường Trường Chinh, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",Đã bàn giao,30.0,35.0,1.0,1,Hợp đồng mua bán,"Căn hộ dịch vụ, mini",,Nội thất đầy đủ
,2.65,"Ngách 1194/61, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Đã bàn giao,70.0,37.86,2.0,2,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất đầy đủ
,4.05,"Phố Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Chưa bàn giao,80.0,50.62,2.0,2,Sổ hồng riêng,"Tập thể, cư xá",,Nội thất đầy đủ
