du_an,price_VND,location,status,area,price_m2,toilet,room,doc,type,Số tầng,furnishing
,15.0,"Phố Quan Hoa, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",,40.0,375.0,,3,Đã có sổ,"Nhà ngõ, hẻm",7.0,Nội thất cao cấp
,5.7,"Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội",,36.0,158.33,4.0,3,Đã có sổ,"Nhà ngõ, hẻm",6.0,Nội thất cao cấp
,3.0,"Cầu Đồng Hoàng, Phường Đồng Mai, Quận Hà Đông, Hà Nội",,35.0,85.71,3.0,3,Đã có sổ,"Nhà ngõ, hẻm",4.0,Nội thất đầy đủ
,9.9,"Đường Đại Mỗ, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",,50.0,198.0,1.0,2,Đã có sổ,"Nhà ngõ, hẻm",1.0,
,20.0,"Phố Tôn Đức Thắng, Phường Quốc Tử Giám, Quận Đống Đa, Hà Nội",,87.0,229.89,3.0,3,Đã có sổ,"Nhà mặt phố, mặt tiền",3.0,Nội thất đầy đủ
,2.68,"56, VÂN HÀ , Xã Vân Hà, Huyện Đông Anh, Hà Nội",,109.0,24.59,3.0,6,Đã có sổ,"Nhà mặt phố, mặt tiền",3.0,Hoàn thiện cơ bản
,17.5,"Phố Mai Dịch, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",,55.0,318.18,5.0,8,Đã có sổ,"Nhà mặt phố, mặt tiền",6.0,Nội thất đầy đủ
,7.5,"Ngõ 30 Phú Mỹ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",,38.0,197.37,4.0,4,Đã có sổ,"Nhà ngõ, hẻm",5.0,
,12.5,"Phố Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",,78.0,160.26,6.0,10,Đã có sổ,"Nhà ngõ, hẻm",7.0,Nội thất đầy đủ
,9.0,"Đường Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",,58.0,155.17,,4,Đã có sổ,"Nhà ngõ, hẻm",,
,9.5,"Phố Hoàng Văn Thái, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",,60.0,158.33,5.0,5,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất cao cấp
,2.9,"0, liên xã , Xã Đại Thành, Huyện Quốc Oai, Hà Nội",,43.0,67.44,3.0,3,Đã có sổ,"Nhà ngõ, hẻm",3.0,Hoàn thiện cơ bản
,8.35,"Ngõ 1 Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",,36.0,231.94,6.0,6,Đã có sổ,"Nhà ngõ, hẻm",6.0,Nội thất cao cấp
,12.5,"Phố Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",,78.0,160.26,6.0,10,Đã có sổ,"Nhà ngõ, hẻm",7.0,Nội thất đầy đủ
,9.0,"Đường Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",,58.0,155.17,,4,Đã có sổ,"Nhà ngõ, hẻm",,
,9.5,"Phố Hoàng Văn Thái, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",,60.0,158.33,5.0,5,Đã có sổ,"Nhà ngõ, hẻm",5.0,Nội thất cao cấp
,2.9,"0, liên xã , Xã Đại Thành, Huyện Quốc Oai, Hà Nội",,43.0,67.44,3.0,3,Đã có sổ,"Nhà ngõ, hẻm",3.0,Hoàn thiện cơ bản
,8.35,"Ngõ 1 Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",,36.0,231.94,6.0,6,Đã có sổ,"Nhà ngõ, hẻm",6.0,Nội thất cao cấp
,9.3,"Phố Tô Hiệu, Phường Hà Cầu, Quận Hà Đông, Hà Nội",,45.0,206.67,,3,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ
,12.6,"Phố Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",,54.0,233.33,,6,Đã có sổ,"Nhà ngõ, hẻm",,
,59.9,"Phố Trung Kính, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",,135.0,443.7,,4,Đã có sổ,"Nhà mặt phố, mặt tiền",,
,2.345,"209, Ngõ 2 đại từ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",,77.0,30.46,1.0,2,Giấy tờ viết tay,"Nhà ngõ, hẻm",1.0,
,7.5,"Phố Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội",,39.0,192.31,,3,Đã có sổ,"Nhà ngõ, hẻm",,
,6.55,"Phố Cự Lộc, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",,33.0,198.48,,3,Đã có sổ,"Nhà ngõ, hẻm",4.0,
